Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
287,North Texas Mean Green,Denton Texas,1922,2020,65,1793,801,992,.447,-4.90,-0.38,0,4,3,3,0,0
288,Northeastern Huskies,Boston Massachusetts,1938,2020,57,1571,824,747,.525,-4.50,-4.26,0,13,9,9,0,0
289,Northeastern Illinois Golden Eagles,Chicago Illinois,1991,1998,8,216,78,138,.361,-14.90,-6.67,0,0,0,0,0,0
290,Northern Arizona Lumberjacks,Flagstaff Arizona,1919,2020,81,1936,879,1057,.454,-7.97,-3.02,0,6,2,2,0,0
291,Northern Colorado Bears,Greeley Colorado,1911,2020,41,765,413,352,.540,-3.79,-4.20,0,3,1,1,0,0
292,Northern Illinois Huskies,De Kalb Illinois,1927,2020,54,1517,687,830,.453,-3.79,-1.12,0,3,2,3,0,0
293,Northern Iowa Panthers,Cedar Falls Iowa,1981,2020,40,1215,646,569,.532,1.19,1.57,1,3,6,8,0,0
294,Northern Kentucky Norse,Highland Heights Kentucky,2013,2020,8,251,137,114,.546,-2.81,-3.69,0,2,3,2,0,0
295,Northwest Missouri State Bearcats,Maryville Missouri,1930,1932,3,97,89,8,.918,,,0,0,0,,,
296,Northwestern State Demons,Natchitoches Louisiana,1977,2020,44,1273,564,709,.443,-9.88,-5.65,0,3,3,3,0,0
297,Northwestern Wildcats,Evanston Illinois,1905,2020,115,2639,1096,1542,.415,3.37,7.40,0,2,0,1,0,0
298,Notre Dame Fighting Irish,Notre Dame Indiana,1897,2020,116,2944,1902,1041,.646,10.07,5.72,25,1,1,36,1,0
299,Oakland Golden Grizzlies,Rochester Michigan,2000,2020,21,680,368,312,.541,-1.10,-1.33,0,4,3,3,0,0
300,Oberlin Yeomen,Oberlin Ohio,1905,1921,7,82,61,21,.744,,,0,0,0,,,
301,Ohio Bobcats,Athens Ohio,1908,2020,113,2717,1547,1170,.569,0.47,-0.17,0,10,6,13,0,0
302,Ohio State Buckeyes,Columbus Ohio,1899,2020,121,2917,1789,1128,.613,11.77,7.40,23,22,5,33,11,1
303,Ohio Wesleyan Battling Bishops,Delaware Ohio,1929,1935,2,40,35,5,.875,,,0,0,0,,,
304,Oklahoma City Chiefs,Oklahoma City Oklahoma,1951,1985,35,948,530,418,.559,0.45,-0.93,3,0,1,11,0,0
305,Oklahoma Sooners,Norman Oklahoma,1908,2020,113,2799,1704,1095,.609,9.59,6.46,19,14,7,32,5,0
306,Oklahoma State Cowboys,Stillwater Oklahoma,1908,2020,111,2869,1678,1191,.585,8.70,5.77,18,19,4,28,6,2
307,Old Dominion Monarchs,Norfolk Virginia,1977,2020,44,1381,841,540,.609,3.27,-0.08,0,9,7,12,0,0
308,Omaha Mavericks,Omaha Nebraska,2013,2020,8,251,122,129,.486,-5.41,-2.37,0,0,0,0,0,0
309,Oral Roberts Golden Eagles,Tulsa Oklahoma,1972,2020,45,1345,753,592,.560,0.45,-1.05,2,7,5,5,0,0
310,Oregon Ducks,Eugene Oregon,1903,2020,115,3062,1691,1371,.552,6.06,5.80,6,7,5,16,2,1
311,Oregon State Beavers,Corvallis Oregon,1902,2020,119,3131,1778,1353,.568,6.13,5.53,8,12,0,17,2,0
312,Pacific Tigers,Stockton California,1938,2020,70,1982,1007,975,.508,-1.16,-0.14,1,10,5,9,0,0
313,Penn State Nittany Lions,University Park Pennsylvania,1897,2020,124,2695,1497,1197,.556,2.43,2.08,2,1,1,9,1,0
314,Pennsylvania Quakers,Philadelphia Pennsylvania,1897,2020,119,2922,1801,1120,.617,0.16,-3.00,6,38,1,24,1,0
315,Pepperdine Waves,Malibu California,1944,2020,66,1898,944,954,.497,-2.30,0.10,1,12,3,13,0,0
316,Phillips Haymakers,Enid Oklahoma,1920,1920,1,3,2,1,.667,,,0,0,0,,,
317,Pittsburg State Gorillas,Pittsburg Kansas,1927,1931,5,103,86,17,.835,,,0,0,0,,,
318,Pittsburgh Panthers,Pittsburgh Pennsylvania,1906,2020,113,2819,1631,1188,.579,5.20,4.15,13,11,4,26,1,0
319,Portland Pilots,Portland Oregon,1954,2020,67,1897,795,1102,.419,-5.29,0.66,0,0,1,2,0,0
320,Portland State Vikings,Portland Oregon,1973,2020,31,900,442,458,.491,-5.87,-2.92,0,2,2,2,0,0
321,Prairie View Panthers,Prairie View Texas,1981,2020,40,1166,348,818,.298,-20.72,-8.19,0,3,2,2,0,0
322,Pratt Institute Cannoneers,Brooklyn New York,1934,1934,1,14,8,6,.571,,,0,0,0,,,
323,Presbyterian Blue Hose,Clinton South Carolina,2011,2020,10,317,108,209,.341,-13.89,-5.30,0,0,0,0,0,0
324,Princeton Tigers,Princeton New Jersey,1901,2020,120,2865,1761,1103,.615,1.38,-3.57,4,30,1,25,1,0
325,Providence Friars,Providence Rhode Island,1929,2020,71,2052,1254,798,.611,7.52,4.34,6,0,2,20,2,0
326,Purdue Boilermakers,West Lafayette Indiana,1897,2020,122,2872,1837,1035,.640,11.83,7.64,22,24,1,31,2,0
327,Purdue-Fort Wayne Mastodons,Fort Wayne Indiana,2003,2020,18,562,263,299,.468,-6.04,-2.39,0,1,0,0,0,0
328,Quinnipiac Bobcats,Hamden Connecticut,1999,2020,22,660,314,346,.476,-8.26,-6.73,0,1,0,0,0,0
329,Radford Highlanders,Radford Virginia,1985,2020,36,1083,566,517,.523,-8.95,-7.04,0,6,3,3,0,0
330,Regis (CO) Rangers,Denver Colorado,1962,1964,3,66,37,29,.561,-4.77,0.04,0,0,0,0,0,0
331,Rensselaer Engineers,Troy New York,1901,1924,4,39,28,11,.718,,,0,0,0,,,
332,Rhode Island Rams,Kingston Rhode Island,1904,2020,114,2680,1535,1145,.573,-1.10,-0.65,0,15,2,10,0,0
